date,time,vcc,vbat
2016/10/07,23:57:14,3.39,3.96
2016/10/07,23:58:13,3.39,3.97
2016/10/07,23:59:13,3.37,3.97
2016/10/08,00:00:13,3.36,3.95
2016/10/08,00:01:12,3.40,3.95
2016/10/08,00:02:11,3.39,3.95
2016/10/08,00:03:12,3.39,3.95
2016/10/08,00:04:11,3.39,3.94
2016/10/08,00:05:11,3.39,3.94
2016/10/08,00:06:10,3.37,3.94
2016/10/08,00:07:09,3.39,3.94
2016/10/08,00:08:09,3.36,3.94
2016/10/08,00:09:08,3.40,3.94
2016/10/08,00:10:08,3.39,3.94
2016/10/08,00:11:08,3.39,3.94
2016/10/08,00:12:07,3.39,3.94
2016/10/08,00:13:07,3.39,3.93
2016/10/08,00:14:07,3.37,3.93
2016/10/08,00:15:07,3.41,3.93
2016/10/08,00:16:06,3.41,3.93
2016/10/08,00:17:06,3.39,3.93
2016/10/08,00:18:05,3.37,3.93
2016/10/08,00:19:05,3.39,3.93
2016/10/08,00:20:04,3.36,3.93
2016/10/08,00:21:03,3.39,3.93
2016/10/08,00:22:03,3.39,3.92
2016/10/08,00:23:03,3.40,3.91
2016/10/08,00:24:03,3.36,3.91
2016/10/08,00:25:02,3.40,3.92
2016/10/08,00:26:02,3.40,3.92
2016/10/08,00:27:01,3.41,3.91
2016/10/08,00:28:01,3.37,3.92
2016/10/08,00:29:00,3.40,3.91
2016/10/08,00:30:00,3.40,3.91
2016/10/08,00:31:00,3.39,3.90
2016/10/08,00:31:59,3.37,3.91
2016/10/08,00:32:59,3.39,3.90
2016/10/08,00:33:58,3.36,3.91
2016/10/08,00:34:58,3.39,3.91
2016/10/08,00:35:58,3.36,3.91
2016/10/08,00:36:57,3.39,3.90
2016/10/08,00:37:57,3.39,3.89
2016/10/08,00:38:57,3.39,3.90
2016/10/08,00:39:56,3.37,3.90
2016/10/08,00:40:56,3.39,3.90
2016/10/08,00:41:55,3.40,3.90
2016/10/08,00:42:55,3.39,3.90
2016/10/08,00:43:54,3.39,3.90
2016/10/08,00:44:54,3.39,3.90
2016/10/08,00:45:53,3.39,3.90
2016/10/08,00:46:53,3.39,3.89
2016/10/08,00:47:52,3.39,3.89
2016/10/08,00:48:52,3.36,3.90
2016/10/08,00:49:51,3.39,3.89
2016/10/08,00:50:51,3.39,3.89
2016/10/08,00:51:51,3.37,3.89
2016/10/08,00:52:50,3.40,3.89
2016/10/08,00:53:50,3.38,3.88
2016/10/08,00:54:49,3.39,3.89
2016/10/08,00:55:49,3.38,3.88
2016/10/08,00:56:49,3.36,3.88
2016/10/08,00:57:48,3.39,3.88
2016/10/08,00:58:48,3.35,3.88
2016/10/08,00:59:47,3.39,3.87
2016/10/08,01:00:47,3.39,3.88
2016/10/08,01:01:47,3.36,3.87
2016/10/08,01:02:46,3.40,3.88
2016/10/08,01:03:46,3.36,3.87
2016/10/08,01:04:45,3.38,3.87
2016/10/08,01:05:45,3.39,3.88
2016/10/08,01:06:45,3.39,3.87
2016/10/08,01:07:44,3.41,3.87
2016/10/08,01:08:44,3.40,3.87
2016/10/08,01:09:44,3.38,3.87
2016/10/08,01:10:43,3.36,3.86
2016/10/08,01:11:43,3.37,3.86
2016/10/08,01:12:43,3.35,3.86
2016/10/08,01:13:42,3.39,3.86
2016/10/08,01:14:41,3.36,3.87
2016/10/08,01:15:41,3.38,3.86
2016/10/08,01:16:41,3.39,3.86
2016/10/08,01:17:40,3.39,3.86
2016/10/08,01:18:40,3.39,3.86
2016/10/08,01:19:39,3.37,3.86
2016/10/08,01:20:39,3.39,3.86
2016/10/08,01:21:39,3.40,3.86
2016/10/08,01:22:38,3.37,3.86
2016/10/08,01:23:38,3.39,3.85
2016/10/08,01:24:38,3.39,3.86
2016/10/08,01:25:37,3.37,3.85
2016/10/08,01:26:37,3.35,3.84
2016/10/08,01:27:36,3.38,3.84
2016/10/08,01:28:36,3.39,3.85
2016/10/08,01:29:35,3.38,3.84
2016/10/08,01:30:35,3.39,3.84
2016/10/08,01:31:35,3.34,3.84
2016/10/08,01:32:34,3.37,3.84
2016/10/08,01:33:34,3.39,3.84
2016/10/08,01:34:33,3.38,3.84
2016/10/08,01:35:33,3.36,3.83
2016/10/08,01:36:33,3.36,3.83
2016/10/08,01:37:32,3.39,3.84
2016/10/08,01:38:32,3.37,3.83
2016/10/08,01:39:32,3.36,3.84
2016/10/08,01:40:31,3.40,3.83
2016/10/08,01:41:30,3.40,3.83
2016/10/08,01:42:31,3.39,3.83
2016/10/08,01:43:30,3.37,3.83
2016/10/08,01:44:29,3.38,3.83
2016/10/08,01:45:28,3.39,3.83
2016/10/08,01:46:28,3.37,3.82
2016/10/08,01:47:28,3.38,3.82
2016/10/08,01:48:28,3.37,3.82
2016/10/08,01:49:27,3.39,3.82
2016/10/08,01:50:26,3.38,3.82
2016/10/08,01:51:26,3.39,3.82
2016/10/08,01:52:25,3.36,3.82
2016/10/08,01:53:25,3.36,3.82
2016/10/08,01:54:24,3.35,3.82
2016/10/08,01:55:24,3.36,3.82
2016/10/08,01:56:24,3.39,3.81
