[2016-04-23 00:15:15.485832] 24, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:15:17.606012] 25, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:15:26.524551] 26, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:15:35.442309] 27, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:15:44.361161] 28, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:15:53.280596] 29, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:16:02.199208] 30, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:16:11.118006] 31, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:16:20.036772] 32, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:16:28.955402] 33, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:16:37.874077] 34, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:16:46.792179] 35, Vcc = 3.11 V, Vbat = 4.15 V
[2016-04-23 00:16:55.711088] 36, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:17:04.629794] 37, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:17:13.547990] 38, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:17:22.465938] 39, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:17:31.384399] 40, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:17:40.303324] 41, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:17:49.221984] 42, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:17:58.140662] 43, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:18:07.059279] 44, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:18:15.977483] 45, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:18:24.895791] 46, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:18:33.814363] 47, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:18:42.733091] 48, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:18:51.651602] 49, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:19:00.570371] 50, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:19:09.490649] 51, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:19:18.407530] 52, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:19:27.325309] 53, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:19:36.244045] 54, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:19:45.163218] 55, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:19:54.082027] 56, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:20:03.000472] 57, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:20:11.918678] 58, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:20:20.836992] 59, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:20:29.754989] 60, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:20:38.673716] 61, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:20:47.593396] 62, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:20:56.510639] 63, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:21:05.428783] 64, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:21:14.347258] 65, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:21:23.265726] 66, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:21:32.184450] 67, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:21:41.102787] 68, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:21:50.021500] 69, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:21:58.939822] 70, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:22:07.858178] 71, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:22:16.776516] 72, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:22:25.694072] 73, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:22:34.612126] 74, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:22:43.530878] 75, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:22:52.449583] 76, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:23:01.368271] 77, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:23:10.286945] 78, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:23:19.205949] 79, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:23:28.124168] 80, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:23:37.042531] 81, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:23:45.961665] 82, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:23:54.879835] 83, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:24:03.798675] 84, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:24:12.717064] 85, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:24:21.636100] 86, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:24:30.555231] 87, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:24:39.473558] 88, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:24:48.392743] 89, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:24:57.310728] 90, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:25:06.229469] 91, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:25:15.148130] 92, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:25:24.066989] 93, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:25:32.985286] 94, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:25:41.904254] 95, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:25:50.823187] 96, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:25:59.741833] 97, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:26:08.660425] 98, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:26:17.579481] 99, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:26:26.498888] 100, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:26:35.417904] 101, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:26:44.336797] 102, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:26:53.255334] 103, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:27:02.174167] 104, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:27:11.094077] 105, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:27:20.012170] 106, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:27:28.930612] 107, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:27:37.849732] 108, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:27:46.767966] 109, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:27:55.686997] 110, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:28:04.605647] 111, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:28:13.525328] 112, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:28:22.444366] 113, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:28:31.363174] 114, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:28:40.281545] 115, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:28:49.200571] 116, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:28:58.119715] 117, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:29:07.038715] 118, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:29:15.957574] 119, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:29:24.876014] 120, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:29:33.794080] 121, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:29:42.712670] 122, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:29:51.631088] 123, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:30:00.552735] 124, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:30:09.468693] 125, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:30:18.388089] 126, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:30:27.306723] 127, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:30:36.225040] 128, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:30:45.143871] 129, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:30:54.063275] 130, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:31:02.982436] 131, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:31:11.901250] 132, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:31:20.820373] 133, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:31:29.740519] 134, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:31:38.657177] 135, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:31:47.575676] 136, Vcc = 3.13 V, Vbat = 4.15 V
