[2016-04-24 15:30:34.445517] 5
no,date,time,lat,lon,ele,speed,head,sat
[2016-04-24 15:30:34.458801] no,vcc,vbat
[2016-04-24 15:30:35.736677] 0,3.14,4.05
[2016-04-24 15:30:45.664933] 0,3.13,4.04
[2016-04-24 15:30:55.692701] 0,3.12,4.04
[2016-04-24 15:31:05.673877] 0,3.13,4.04
[2016-04-24 15:31:15.597223] 0,3.13,4.04
[2016-04-24 15:31:25.500571] 0,3.13,4.04
[2016-04-24 15:31:35.424181] 0,3.13,4.04
[2016-04-24 15:31:45.335344] 0,3.13,4.04
[2016-04-24 15:31:55.239650] 0,3.13,4.04
[2016-04-24 15:32:05.161578] 0,3.13,4.04
[2016-04-24 15:32:15.074345] 0,3.13,4.04
[2016-04-24 15:32:25.137004] 0,3.12,4.04
[2016-04-24 15:32:35.044812] 0,3.13,4.04
[2016-04-24 15:32:44.958814] 0,3.13,4.04
[2016-04-24 15:32:55.023592] 0,3.12,4.04
[2016-04-24 15:33:04.930032] 0,3.13,4.04
[2016-04-24 15:33:14.998217] 0,3.12,4.04
[2016-04-24 15:33:24.965759] 0,3.13,4.04
[2016-04-24 15:33:34.874141] 0,3.13,4.04
[2016-04-24 15:33:44.930148] 0,3.12,4.04
[2016-04-24 15:33:54.839652] 0,3.13,4.04
[2016-04-24 15:34:04.757641] 0,3.13,4.04
[2016-04-24 15:34:14.756071] 0,3.12,4.04
[2016-04-24 15:34:24.665603] 0,3.13,4.04
[2016-04-24 15:34:34.446312] 0,3.13.04
[2016-04-24 15:34:34.460822] KE UP
[2016-04-24 15:34:34.722980] 0,3.12,4.04
[2016-04-24 15:34:44.628630] 0,3.13,4.04
[2016-04-24 15:34:54.548338] 0,3.13,4.04
[2016-04-24 15:35:04.458768] 0,3.13,4.04
[2016-04-24 15:35:14.364359] 0,3.13,4.04
[2016-04-24 15:35:24.425853] 0,3.12,4.04
[2016-04-24 15:35:34.336557] 0,3.13,4.04
