no,vcc,vbat,temp
0,4.81,3.60,22.50
1,4.83,3.61,22.50
2,4.83,3.62,22.50
3,4.81,3.60,22.50
4,4.81,3.60,22.50
5,4.83,3.60,22.50
6,4.83,3.61,22.50
7,4.81,3.62,22.50
8,4.81,3.62,22.50
9,4.83,3.61,22.50
10,4.81,3.63,22.50
11,4.83,3.60,22.50
12,4.81,3.62,22.50
13,4.83,3.61,22.50
14,4.81,3.62,22.50
15,4.83,3.60,22.50
16,4.81,3.61,22.50
17,4.83,3.59,22.50
18,4.83,3.62,22.50
19,4.83,3.60,22.50
20,4.81,3.60,23.00
21,4.81,3.62,23.00
22,4.83,3.60,23.00
23,4.83,3.60,23.00
24,4.83,3.61,23.00
25,4.81,3.62,23.00
26,4.81,3.60,23.00
27,4.83,3.59,23.00
28,4.83,3.60,23.00
29,4.81,3.59,23.00
30,4.81,3.60,23.00
31,4.83,3.60,23.00
32,4.81,3.60,23.00
33,4.81,3.60,23.00
34,4.81,3.60,23.00
35,4.81,3.58,23.00
36,4.81,3.59,23.00
37,4.83,3.60,23.00
38,4.81,3.59,23.00
39,4.81,3.59,23.00
40,4.81,3.58,23.00
41,4.83,3.60,23.00
42,4.81,3.58,23.00
43,4.81,3.58,23.00
44,4.81,3.59,23.00
45,4.83,3.60,23.00
46,4.83,3.58,23.00
47,4.83,3.59,23.00
48,4.81,3.58,23.00
49,4.81,3.58,23.00
50,4.83,3.57,23.00
51,4.83,3.60,23.00
52,4.83,3.47,23.00
53,4.83,3.44,23.00
54,4.83,3.41,23.00
55,4.83,3.41,23.00
56,4.83,3.46,23.00
57,4.77,3.45,23.00
58,4.81,3.36,23.00
59,4.81,3.41,23.00
60,4.81,3.45,23.00
61,4.79,3.40,23.00
62,4.79,3.35,23.00
63,4.77,3.44,23.00
64,4.77,3.44,23.00
65,4.81,3.44,23.00
66,4.81,3.44,23.00
67,4.79,3.44,23.00
68,4.79,3.44,23.00
69,4.77,3.46,23.00
70,4.81,3.45,23.00
71,4.77,3.46,23.00
72,4.79,3.45,23.00
73,4.77,3.44,23.00
74,4.81,3.43,23.00
75,4.77,3.46,23.00
76,4.81,3.43,23.00
77,4.77,3.46,23.00
78,4.79,3.42,23.00
79,4.81,3.42,23.00
80,4.81,3.44,23.00
81,4.81,3.44,23.00
82,4.79,3.39,23.00
83,4.81,3.50,23.00
84,4.81,3.48,23.00
85,4.81,3.49,23.00
86,4.83,3.49,23.00
87,4.81,3.51,23.00
88,4.81,3.50,23.00
89,4.81,3.51,23.00
90,4.81,3.49,23.00
91,4.81,3.48,23.00
